District;Surface_totale;Surface_non_naturelle
Affoltern;11305;1744
Andelfingen;16663;1689
Bülach;18489;4087
Dielsdorf;15284;2815
Hinwil;17942;2831
Horgen;10422;2826
Meilen;8463;2748
Pfäffikon;16312;2108
Uster;11220;3170
Winterthur;25188;4438
Dietikon;6000;1990
Zürich;8794;5212
Jura bernois;54169;2919
Biel/Bienne;9749;2447
Seeland;33683;3704
Oberaargau;33104;3884
Emmental;69022;4822
Bern-Mittelland;94363;11395
Thun;32181;3428
Obersimmental-Saanen;57502;1460
Frutigen-Niedersimmental;77340;2341
Interlaken-Oberhasli;122924;2770
Luzern-Stadt;2908;1321
Luzern-Land;18753;2929
Hochdorf;17742;2519
Sursee;27310;3118
Willisau;33743;2764
Entlebuch;42446;1422
Uri;105721;1868
Einsiedeln;9903;588
Gersau;1436;92
Höfe;3765;830
Küssnacht (SZ);2948;453
March;17683;1282
Schwyz;49435;2060
Obwalden;48070;1779
Nidwalden;24139;1417
Glarus;68070;1836
Zug;20709;3078
la Broye;17250;1785
La Glâne;16878;1291
la Gruyère;48976;2488
la Sarine;21773;3126
Lac;14472;1749
Sense;26549;2062
la Veveyse;13436;906
Gäu;6197;993
Thal;13939;776
Bucheggberg;6276;512
Dorneck;7464;840
Gösgen;6869;922
Wasseramt;7659;1886
Lebern;11724;1634
Olten;8057;1855
Solothurn;627;434
Thierstein;10227;703
Basel-Stadt;3697;2513
Arlesheim;9619;3778
Laufen;8955;877
Liestal;8596;1825
Sissach;14104;1424
Waldenburg;10501;724
Oberklettgau;3192;237
Reiat;3933;444
Schaffhausen;10580;1567
Schleitheim;4354;242
Stein;3096;298
Unterklettgau;4663;376
Hinterland;13618;930
Mittelland;6029;665
Vorderland;4644;553
Appenzell Innerrhoden;17236;784
St. Gallen;15765;3213
Rorschach;5045;1422
Rheintal;13903;2880
Werdenberg;20649;1778
Sarganserland;51776;1937
See-Gaster;24574;2349
Toggenburg;48848;2484
Wil;14538;2511
Albula;68361;961
Bernina;23734;405
Engiadina Bassa / Val Müstair;119663;899
Imboden;20376;882
Landquart;17466;1052
Maloja;97343;1299
Moesa;49608;768
Plessur;28528;1244
Prättigau / Davos;85333;1643
Surselva;137341;2004
Viamala;62764;1043
Aarau;10471;2297
Baden;15329;3626
Bremgarten;11753;2327
Brugg;14503;2076
Kulm;9728;1564
Laufenburg;15673;1642
Lenzburg;9794;2182
Muri;13895;1544
Rheinfelden;11174;1596
Zofingen;14200;2523
Zurzach;12996;1595
Arbon;8890;2026
Frauenfeld;27958;3255
Kreuzlingen;12918;2020
Münchwilen;13815;1899
Weinfelden;22706;2825
Bellinzona;22642;2042
Blenio;36072;540
Leventina;47939;1116
Locarno;55044;2787
Lugano;30805;4605
Mendrisio;10081;1898
Riviera;14569;552
Vallemaggia;56937;579
Aigle;43506;2704
la Broye-Vully;25812;2500
Gros-de-Vaud;23229;1960
Jura-Nord vaudois;70104;4360
Lausanne;6509;2576
Lavaux-Oron;14016;2132
Morges;37305;3410
Nyon;30741;3650
l'Ouest lausannois;2629;1517
la Riviera-Pays-d'Enhaut;28286;2512
Brig;43446;978
Conthey;23416;1442
Entremont;63305;1122
Goms;58923;548
Hérens;46599;868
Leuk;33522;897
Martigny;26353;2073
Monthey;25671;1960
Raron;39823;833
Saint-Maurice;19056;785
Sierre;41844;2425
Sion;13054;1671
Visp;86412;1372
Canton de Neuchâtel;71674;6014
Canton de Genève;24576;8943
Delémont;30320;2057
Franches-Montagnes;20018;820
Porrentruy;33519;2179
